AT1G35740	minor CHO metabolism.callose	3.6
ATMG01300	not assigned.unknown	35.2
AT1G12180	not assigned.unknown	35.2
AT4G22420	not assigned.unknown	35.2
AT2G04800	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT2G39370	not assigned.unknown	35.2
AT2G19290	not assigned.unknown	35.2
AT1G10530	not assigned.unknown	35.2
AT2G31700	not assigned.unknown	35.2
AT5G07380	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT2G04580	not assigned.unknown	35.2
AT5G50500	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT3G30500	not assigned.unknown	35.2
AT5G56570	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT1G58120	not assigned.unknown	35.2
AT1G50930	not assigned.unknown	35.2
AT1G42710	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT3G60990	not assigned.unknown	35.2
AT1G52460	not assigned.unknown	35.2
AT1G23270	not assigned.unknown	35.2
AT3G29080	not assigned.unknown	35.2
AT3G26110	not assigned.unknown	35.2
AT1G62690	not assigned.unknown	35.2
AT4G36120	not assigned.unknown	35.2
AT4G02910	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT5G67040	not assigned.unknown	35.2
AT5G18510	not assigned.unknown	35.2
AT2G14730	not assigned.unknown	35.2
AT3G25182	not assigned.unknown	35.2
AT3G42590	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT3G11350	not assigned.unknown	35.2
AT1G26530	not assigned.unknown	35.2
AT5G57310	not assigned.unknown	35.2
AT4G13690	not assigned.unknown	35.2
AT2G11166	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT1G54540	not assigned.unknown	35.2
AT4G08750	not assigned.unknown	35.2
AT4G40020	not assigned.unknown	35.2
AT3G29750	not assigned.unknown	35.2
AT3G30650	not assigned.unknown	35.2
AT4G09850	not assigned.unknown	35.2
AT5G66815	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT1G54860	not assigned.unknown	35.2
AT2G10900	not assigned.unknown	35.2
AT4G09270	not assigned.unknown	35.2
AT5G35340	not assigned.unknown	35.2
AT3G57210	not assigned.unknown	35.2
AT4G31260	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT1G28135	not assigned.unknown	35.2
AT3G28190	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT1G05920	not assigned.unknown	35.2
AT5G32540	not assigned.unknown	35.2
AT5G15890	not assigned.unknown	35.2
AT1G35040	not assigned.unknown	35.2
AT4G02090	not assigned.unknown	35.2
AT1G64405	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT3G50200	not assigned.unknown	35.2
AT4G03750	not assigned.unknown	35.2
AT1G61930	not assigned.unknown	35.2
AT3G30190	not assigned.unknown	35.2
AT5G43000	not assigned.unknown	35.2
AT5G17100	not assigned.unknown	35.2
AT2G17070	not assigned.unknown	35.2
AT2G17940	not assigned.unknown	35.2
AT5G28880	not assigned.unknown	35.2
ATCH	not assigned.unknown	35.2
AT2G13760	not assigned.unknown	35.2
AT3G13130	not assigned.unknown	35.2
AT4G19620	not assigned.unknown	35.2
AT2G07736	not assigned.disagreeing hits	35.3
AT1G69710	not assigned.disagreeing hits	35.3
AT3G44470	not assigned.disagreeing hits	35.3
